backbone,frame_length,NMSE,EVM,ACLR_L,ACLR_R,ACLR_AVG,n_seg,eval_time_s
DGRU,50,-41.1902,-43.6802,-48.7475,-45.3739,-47.0607,2,0.2896
ATTN(no PE),50,-21.2332,-21.7995,-47.6046,-45.3321,-46.4683,2,0.0869
ATTN(PE),50,-21.0061,-21.8480,-37.1011,-36.2143,-36.6577,2,0.0500
DGRU,100,-42.5931,-44.7675,-49.7320,-47.4093,-48.5706,2,0.0623
ATTN(no PE),100,-21.1010,-21.5996,-47.2499,-45.3367,-46.2933,2,0.0458
ATTN(PE),100,-21.3812,-22.1073,-38.6410,-38.0238,-38.3324,2,0.0375
DGRU,200,-43.3068,-45.2895,-48.6232,-47.2961,-47.9596,2,0.0380
ATTN(no PE),200,-21.0504,-21.5906,-47.4800,-45.8162,-46.6481,2,0.0536
ATTN(PE),200,-6.2841,-8.5336,-16.0797,-14.6484,-15.3641,2,0.0629
DGRU,500,-43.3839,-45.2935,-39.0858,-37.1181,-38.1020,2,0.0688
ATTN(no PE),500,-21.0432,-21.5499,-40.1566,-36.6297,-38.3931,2,0.1118
ATTN(PE),500,-19.5569,-21.1884,-38.4815,-35.2652,-36.8734,2,0.1106
DGRU,1000,-44.3146,-47.1358,-31.0158,-28.2974,-29.6566,2,0.0710
ATTN(no PE),1000,-21.0580,-21.5288,-32.4804,-27.9976,-30.2390,2,0.3801
ATTN(PE),1000,-20.2509,-21.1732,-32.7836,-27.4526,-30.1181,2,0.3873
