I_in,Q_in,I_out,Q_out,I_out_actual,Q_out_actual,I_out_ideal,Q_out_ideal
0.32772962,0.18710188,-0.72376359,-0.13536000,0.40219232,0.25132105,3.27729624,1.87101882
0.18568327,0.13978484,-0.72377086,-0.13537590,0.21834758,0.22101106,1.85683266,1.39784838
0.02013741,0.08425953,-0.72376549,-0.13538837,0.01362433,0.15689790,0.20137406,0.84259532
-0.13955006,0.03503391,-0.72375262,-0.13539036,-0.15799058,0.07674215,-1.39550059,0.35033913
-0.26847257,0.00238992,-0.72374529,-0.13539386,-0.30562805,0.01435197,-2.68472571,0.02389922
-0.35176734,-0.01112369,-0.72375166,-0.13540345,-0.41544601,-0.00289965,-3.51767338,-0.11123694
-0.38672686,-0.01132563,-0.72377062,-0.13542160,-0.44777985,-0.01411118,-3.86726864,-0.11325628
-0.38111264,-0.00993079,-0.72379559,-0.13544786,-0.44957002,-0.02755736,-3.81112636,-0.09930789
-0.34859305,-0.01980912,-0.72381723,-0.13547646,-0.40953837,-0.05160245,-3.48593051,-0.19809124
-0.30310124,-0.04960126,-0.72382814,-0.13549013,-0.36021452,-0.10462401,-3.03101242,-0.49601256
-0.25413290,-0.09956966,-0.72382814,-0.13548210,-0.29707881,-0.16484896,-2.54132900,-0.99569665
-0.20452456,-0.16019342,-0.72382241,-0.13546395,-0.23546735,-0.23036214,-2.04524562,-1.60193416
-0.15125928,-0.21414090,-0.72381711,-0.13545160,-0.17075908,-0.29163842,-1.51259280,-2.14140898
-0.08870595,-0.24116059,-0.72381514,-0.13545583,-0.09376031,-0.31843116,-0.88705953,-2.41160587
-0.01282226,-0.22446477,-0.72381687,-0.13547403,0.00111284,-0.29162152,-0.12822263,-2.24464774
0.07545084,-0.15665174,-0.72382194,-0.13549398,0.10736883,-0.20211521,0.75450843,-1.56651742
0.16900520,-0.04328455,-0.72383022,-0.13550542,0.20826653,-0.06407738,1.69005197,-0.43284550
0.25609987,0.09710273,-0.72383970,-0.13550530,0.30260839,0.10445202,2.56099874,0.97102730
