I_in,Q_in,I_out,Q_out,I_out_ideal,Q_out_ideal
0.32772962,0.18710188,1.45158124,2.01470089,3.27729624,1.87101882
0.18568327,0.13978484,1.69504333,1.56977534,1.85683266,1.39784838
0.02013741,0.08425953,-0.15768015,1.21409929,0.20137406,0.84259532
-0.13955006,0.03503391,-0.81229031,0.03083404,-1.39550059,0.35033913
-0.26847257,0.00238992,-1.04755282,0.04822376,-2.68472571,0.02389922
-0.35176734,-0.01112369,-1.10421395,-0.01475839,-3.51767338,-0.11123694
-0.38672686,-0.01132563,-1.14217961,0.00306877,-3.86726864,-0.11325628
-0.38111264,-0.00993079,-1.17088330,0.04129140,-3.81112636,-0.09930789
-0.34859305,-0.01980912,-1.16838026,0.02198844,-3.48593051,-0.19809124
-0.30310124,-0.04960126,-1.14094818,-0.10837285,-3.03101242,-0.49601256
-0.25413290,-0.09956966,-1.04948461,-0.35863769,-2.54132900,-0.99569665
-0.20452456,-0.16019342,-0.85870093,-0.66200298,-2.04524562,-1.60193416
-0.15125928,-0.21414090,-0.60124940,-0.90894037,-1.51259280,-2.14140898
-0.08870595,-0.24116059,-0.32662141,-1.05433762,-0.88705953,-2.41160587
-0.01282226,-0.22446477,-0.00028075,-1.13502920,-0.12822263,-2.24464774
0.07545084,-0.15665174,0.55857146,-1.06431007,0.75450843,-1.56651742
0.16900520,-0.04328455,1.23096943,-0.15777037,1.69005197,-0.43284550
0.25609987,0.09710273,1.57276309,1.21428919,2.56099874,0.97102730
0.32404290,0.23676676,1.86327946,2.63279676,3.24042901,2.36766756
0.36359117,0.34537585,2.05647922,3.67892957,3.63591169,3.45375852
0.37232724,0.39773211,2.14328241,4.13403511,3.72327236,3.97732112
0.35562776,0.38048611,2.11753035,3.88968778,3.55627759,3.80486108
0.32473696,0.29597821,1.99472702,3.06221080,3.24736963,2.95978206
0.29256915,0.16210053,1.78041077,1.80650234,2.92569151,1.62100531
0.26877109,0.00813432,1.51068282,0.40659657,2.68771085,0.08134317
0.25592939,-0.13241285,1.23340952,-0.52794963,2.55929391,-1.32412852
0.24845885,-0.23015072,0.95526069,-0.93048066,2.48458853,-2.30150724
0.23476104,-0.26719477,0.89395511,-0.94992536,2.34761044,-2.67194773
0.20203028,-0.24169690,0.87011427,-0.94885957,2.02030277,-2.41696896
0.14204496,-0.16833321,0.87010193,-0.92842525,1.42044964,-1.68333211
0.05580762,-0.07457935,0.62338042,-0.97485578,0.55807624,-0.74579350
-0.04481692,0.00633526,-0.72199214,-0.16300380,-0.44816915,0.06335262
-0.13934033,0.04405585,-0.93293840,0.33372530,-1.39340328,0.44055851
-0.20430137,0.01914954,-0.99191654,0.23589534,-2.04301372,0.19149544
-0.22062204,-0.07148850,-0.92940962,-0.31831920,-2.20622040,-0.71488504
-0.18026532,-0.21331134,-0.60232788,-0.78594083,-1.80265321,-2.13311339
-0.08990021,-0.37732340,-0.19578303,-1.04682803,-0.89900206,-3.77323398
0.02981639,-0.52711303,0.13155267,-1.09539521,0.29816386,-5.27113030
0.14932331,-0.62800768,0.40030527,-1.09241509,1.49323315,-6.28007684
0.23814736,-0.65603139,0.54271936,-1.07438779,2.38147361,-6.56031385
0.27336530,-0.60430570,0.60334378,-1.06529903,2.73365297,-6.04305696
0.24591339,-0.48511697,0.62924403,-1.05627728,2.45913391,-4.85116969
0.16280364,-0.32695923,0.58529598,-1.07849693,1.62803645,-3.26959227
0.04462620,-0.16719317,0.33052176,-1.13537455,0.44626196,-1.67193173
-0.08076937,-0.04218850,-0.95928979,-0.37159097,-0.80769371,-0.42188497
-0.18632430,0.02240997,-1.18289447,0.29035369,-1.86324296,0.22409969
