I_in,Q_in,I_out,Q_out,I_out_ideal,Q_out_ideal
0.32772962,0.18710188,1.57849622,2.18640399,3.27729624,1.87101882
0.18568327,0.13978484,1.59284651,1.35361779,1.85683266,1.39784838
0.02013741,0.08425953,0.21936885,1.13085723,0.20137406,0.84259532
-0.13955006,0.03503391,-0.80822134,0.45992213,-1.39550059,0.35033913
-0.26847257,0.00238992,-1.04719114,-0.01024506,-2.68472571,0.02389922
-0.35176734,-0.01112369,-1.11505163,0.04120181,-3.51767338,-0.11123694
-0.38672686,-0.01132563,-1.13351548,-0.00302161,-3.86726864,-0.11325628
-0.38111264,-0.00993079,-1.15638769,0.03247590,-3.81112636,-0.09930789
-0.34859305,-0.01980912,-1.15251327,-0.00678673,-3.48593051,-0.19809124
-0.30310124,-0.04960126,-1.12753677,-0.13906780,-3.03101242,-0.49601256
-0.25413290,-0.09956966,-1.04108870,-0.38068709,-2.54132900,-0.99569665
-0.20452456,-0.16019342,-0.86010194,-0.65813863,-2.04524562,-1.60193416
-0.15125928,-0.21414090,-0.61263293,-0.89244765,-1.51259280,-2.14140898
-0.08870595,-0.24116059,-0.34497139,-1.04617131,-0.88705953,-2.41160587
-0.01282226,-0.22446477,0.03167408,-1.15102029,-0.12822263,-2.24464774
0.07545084,-0.15665174,0.53052515,-1.09973359,0.75450843,-1.56651742
0.16900520,-0.04328455,1.19398737,-0.23657864,1.69005197,-0.43284550
0.25609987,0.09710273,1.56634724,1.21640420,2.56099874,0.97102730
0.32404290,0.23676676,1.83840954,2.53986621,3.24042901,2.36766756
0.36359117,0.34537585,2.04757094,3.68014336,3.63591169,3.45375852
0.37232724,0.39773211,2.13532782,4.15026426,3.72327236,3.97732112
0.35562776,0.38048611,2.10675073,3.89920425,3.55627759,3.80486108
0.32473696,0.29597821,1.98419201,3.08145452,3.24736963,2.95978206
0.29256915,0.16210053,1.78225803,1.89739883,2.92569151,1.62100531
0.26877109,0.00813432,1.48008645,0.33643129,2.68771085,0.08134317
0.25592939,-0.13241285,1.18911898,-0.59815925,2.55929391,-1.32412852
0.24845885,-0.23015072,0.98573786,-0.87774986,2.48458853,-2.30150724
0.23476104,-0.26719477,0.89305735,-0.94272894,2.34761044,-2.67194773
0.20203028,-0.24169690,0.86161137,-0.95378834,2.02030277,-2.41696896
0.14204496,-0.16833321,0.83355451,-0.95298785,1.42044964,-1.68333211
0.05580762,-0.07457935,0.61651009,-0.74955094,0.55807624,-0.74579350
-0.04481692,0.00633526,-0.74415725,0.00578814,-0.44816915,0.06335262
-0.13934033,0.04405585,-1.21795106,0.24109545,-1.39340328,0.44055851
-0.20430137,0.01914954,-1.10327494,0.09983950,-2.04301372,0.19149544
-0.22062204,-0.07148850,-1.07346237,-0.29524222,-2.20622040,-0.71488504
-0.18026532,-0.21331134,-0.70647681,-0.79123992,-1.80265321,-2.13311339
-0.08990021,-0.37732340,-0.23761700,-1.07154369,-0.89900206,-3.77323398
0.02981639,-0.52711303,0.15024576,-1.11641455,0.29816386,-5.27113030
0.14932331,-0.62800768,0.36987004,-1.10256302,1.49323315,-6.28007684
0.23814736,-0.65603139,0.48682004,-1.08877873,2.38147361,-6.56031385
0.27336530,-0.60430570,0.55871141,-1.06905890,2.73365297,-6.04305696
0.24591339,-0.48511697,0.60273528,-1.05374026,2.45913391,-4.85116969
0.16280364,-0.32695923,0.60076737,-1.05629098,1.62803645,-3.26959227
0.04462620,-0.16719317,0.32897747,-1.11358213,0.44626196,-1.67193173
-0.08076937,-0.04218850,-0.80250722,-0.45725355,-0.80769371,-0.42188497
-0.18632430,0.02240997,-1.26779115,0.35881123,-1.86324296,0.22409969
-0.25298075,0.01858033,-1.09705353,0.12944117,-2.52980750,0.18580332
-0.27386209,-0.04202907,-1.14176309,-0.05015274,-2.73862093,-0.42029073
-0.25433232,-0.13160654,-0.99881774,-0.40255365,-2.54332321,-1.31606541
-0.20826767,-0.21436172,-0.76271313,-0.71925938,-2.08267675,-2.14361715
-0.15212670,-0.25711654,-0.55402011,-0.90652221,-1.52126702,-2.57116541
-0.09906057,-0.23924727,-0.41556287,-0.99135506,-0.99060570,-2.39247273
