I_in,Q_in,I_out,Q_out,I_out_ideal,Q_out_ideal
0.32772962,0.18710188,-0.70959121,0.05406592,3.27729624,1.87101882
0.18568327,0.13978484,-0.70949918,0.05417492,1.85683266,1.39784838
0.02013741,0.08425953,-0.70948720,0.05403701,0.20137406,0.84259532
-0.13955006,0.03503391,-0.70956576,0.05377184,-1.39550059,0.35033913
-0.26847257,0.00238992,-0.70968795,0.05354578,-2.68472571,0.02389922
-0.35176734,-0.01112369,-0.70976502,0.05346089,-3.51767338,-0.11123694
-0.38672686,-0.01132563,-0.70972246,0.05349608,-3.86726864,-0.11325628
-0.38111264,-0.00993079,-0.70956451,0.05354404,-3.81112636,-0.09930789
-0.34859305,-0.01980912,-0.70937330,0.05353156,-3.48593051,-0.19809124
-0.30310124,-0.04960126,-0.70923370,0.05348230,-3.03101242,-0.49601256
-0.25413290,-0.09956966,-0.70920032,0.05347786,-2.54132900,-0.99569665
-0.20452456,-0.16019342,-0.70923477,0.05359112,-2.04524562,-1.60193416
-0.15125928,-0.21414090,-0.70925266,0.05379862,-1.51259280,-2.14140898
-0.08870595,-0.24116059,-0.70921040,0.05397734,-0.88705953,-2.41160587
-0.01282226,-0.22446477,-0.70913720,0.05402156,-0.12822263,-2.24464774
0.07545084,-0.15665174,-0.70910841,0.05394028,0.75450843,-1.56651742
0.16900520,-0.04328455,-0.70914733,0.05385891,1.69005197,-0.43284550
0.25609987,0.09710273,-0.70923585,0.05386912,2.56099874,0.97102730
0.32404290,0.23676676,-0.70929462,0.05399004,3.24042901,2.36766756
0.36359117,0.34537585,-0.70925415,0.05414462,3.63591169,3.45375852
0.37232724,0.39773211,-0.70912731,0.05422734,3.72327236,3.97732112
0.35562776,0.38048611,-0.70900613,0.05418960,3.55627759,3.80486108
0.32473696,0.29597821,-0.70896113,0.05409532,3.24736963,2.95978206
0.29256915,0.16210053,-0.70901018,0.05401996,2.92569151,1.62100531
0.26877109,0.00813432,-0.70909131,0.05399596,2.68771085,0.08134317
0.25592939,-0.13241285,-0.70912784,0.05397981,2.55929391,-1.32412852
0.24845885,-0.23015072,-0.70908934,0.05390596,2.48458853,-2.30150724
0.23476104,-0.26719477,-0.70902491,0.05374358,2.34761044,-2.67194773
0.20203028,-0.24169690,-0.70902973,0.05354414,2.02030277,-2.41696896
0.14204496,-0.16833321,-0.70913559,0.05340755,1.42044964,-1.68333211
0.05580762,-0.07457935,-0.70927942,0.05339014,0.55807624,-0.74579350
-0.04481692,0.00633526,-0.70936406,0.05346108,-0.44816915,0.06335262
-0.13934033,0.04405585,-0.70933974,0.05354685,-1.39340328,0.44055851
-0.20430137,0.01914954,-0.70924503,0.05361738,-2.04301372,0.19149544
-0.22062204,-0.07148850,-0.70917618,0.05369068,-2.20622040,-0.71488504
-0.18026532,-0.21331134,-0.70919889,0.05380518,-1.80265321,-2.13311339
-0.08990021,-0.37732340,-0.70929497,0.05396300,-0.89900206,-3.77323398
0.02981639,-0.52711303,-0.70938486,0.05411228,0.29816386,-5.27113030
0.14932331,-0.62800768,-0.70938623,0.05416964,1.49323315,-6.28007684
0.23814736,-0.65603139,-0.70929110,0.05410626,2.38147361,-6.56031385
0.27336530,-0.60430570,-0.70915639,0.05400942,2.73365297,-6.04305696
0.24591339,-0.48511697,-0.70906979,0.05398216,2.45913391,-4.85116969
0.16280364,-0.32695923,-0.70907331,0.05406886,1.62803645,-3.26959227
0.04462620,-0.16719317,-0.70913845,0.05419603,0.44626196,-1.67193173
-0.08076937,-0.04218850,-0.70920014,0.05422650,-0.80769371,-0.42188497
-0.18632430,0.02240997,-0.70920879,0.05405482,-1.86324296,0.22409969
-0.25298075,0.01858033,-0.70916277,0.05371784,-2.52980750,0.18580332
-0.27386209,-0.04202907,-0.70909554,0.05338902,-2.73862093,-0.42029073
-0.25433232,-0.13160654,-0.70903665,0.05325550,-2.54332321,-1.31606541
-0.20826767,-0.21436172,-0.70898849,0.05335712,-2.08267675,-2.14361715
-0.15212670,-0.25711654,-0.70894331,0.05357926,-1.52126702,-2.57116541
-0.09906057,-0.23924727,-0.70891118,0.05375980,-0.99060570,-2.39247273
-0.05515263,-0.15901949,-0.70894122,0.05379216,-0.55152629,-1.59019486
-0.01899111,-0.03435046,-0.70906502,0.05368742,-0.18991115,-0.34350458
0.01550690,0.10234052,-0.70923358,0.05353376,0.15506905,1.02340519
0.05432215,0.21374689,-0.70936579,0.05341728,0.54322149,2.13746895
0.09863059,0.26890830,-0.70940256,0.05336470,0.98630586,2.68908296
0.14215757,0.25265538,-0.70934474,0.05329621,1.42157571,2.52655379
0.17180607,0.17034170,-0.70924646,0.05313227,1.71806074,1.70341695
0.17155312,0.04634633,-0.70919877,0.05289576,1.71553121,0.46346327
0.12836878,-0.08325413,-0.70924938,0.05268970,1.28368777,-0.83254131
0.03809717,-0.18161920,-0.70934767,0.05263646,0.38097174,-1.81619195
-0.09086046,-0.22230520,-0.70937514,0.05276722,-0.90860456,-2.22305197
-0.23756580,-0.19717683,-0.70925254,0.05302684,-2.37565802,-1.97176830
-0.37258391,-0.11860097,-0.70901126,0.05330906,-3.72583911,-1.18600973
-0.46504415,-0.01525816,-0.70877653,0.05353282,-4.65044152,-0.15258161
-0.49071724,0.07706718,-0.70865297,0.05369978,-4.90717242,0.77067182
-0.43874251,0.12676470,-0.70867586,0.05386174,-4.38742511,1.26764703
-0.31503003,0.11615377,-0.70879513,0.05401722,-3.15030035,1.16153767
-0.14136187,0.04665383,-0.70892560,0.05409242,-1.41361868,0.46653833
0.04951237,-0.06217467,-0.70901322,0.05400502,0.49512366,-0.62174670
0.22135958,-0.17925721,-0.70908046,0.05376206,2.21359575,-1.79257205
0.34245565,-0.27201143,-0.70917875,0.05346110,3.42455654,-2.72011425
0.39202247,-0.31640337,-0.70929813,0.05323608,3.92022475,-3.16403368
0.36365167,-0.30380693,-0.70940351,0.05312610,3.63651667,-3.03806935
0.26522004,-0.24258365,-0.70942611,0.05309125,2.65220040,-2.42583654
0.11578700,-0.15413310,-0.70935315,0.05306048,1.15787002,-1.54133096
-0.05933232,-0.06503087,-0.70924360,0.05297986,-0.59332322,-0.65030869
