I_in,Q_in,I_out,Q_out,I_out_actual,Q_out_actual,I_out_ideal,Q_out_ideal
0.32772962,0.18710188,3.28593564,1.59900892,0.40219232,0.25132105,0.32772962,0.18710188
0.18568327,0.13978484,1.77922666,1.25359595,0.21834758,0.22101106,0.18568327,0.13978484
0.02013741,0.08425953,0.29489419,0.67311960,0.01362433,0.15689790,0.02013741,0.08425953
-0.13955006,0.03503391,-0.75766414,0.87099278,-0.15799058,0.07674215,-0.13955006,0.03503391
-0.26847257,0.00238992,-1.99421692,0.38934836,-0.30562805,0.01435197,-0.26847257,0.00238992
-0.35176734,-0.01112369,-2.01224375,0.52403414,-0.41544601,-0.00289965,-0.35176734,-0.01112369
-0.38672686,-0.01132563,-2.00106335,0.48598275,-0.44777985,-0.01411118,-0.38672686,-0.01132563
-0.38111264,-0.00993079,-2.02688384,0.58381367,-0.44957002,-0.02755736,-0.38111264,-0.00993079
-0.34859305,-0.01980912,-2.01717639,0.52659047,-0.40953837,-0.05160245,-0.34859305,-0.01980912
-0.30310124,-0.04960126,-1.93386173,0.20731243,-0.36021452,-0.10462401,-0.30310124,-0.04960126
-0.25413290,-0.09956966,-1.75131965,-0.27913374,-0.29707881,-0.16484896,-0.25413290,-0.09956966
-0.20452456,-0.16019342,-1.39422405,-0.91232085,-0.23546735,-0.23036214,-0.20452456,-0.16019342
-0.15125928,-0.21414090,-0.99761391,-1.38856399,-0.17075908,-0.29163842,-0.15125928,-0.21414090
-0.08870595,-0.24116059,-0.56395155,-1.74167502,-0.09376031,-0.31843116,-0.08870595,-0.24116059
-0.01282226,-0.22446477,-0.01583376,-2.03079247,0.00111284,-0.29162152,-0.01282226,-0.22446477
0.07545084,-0.15665174,0.71658313,-0.73343253,0.10736883,-0.20211521,0.07545084,-0.15665174
0.16900520,-0.04328455,1.63718379,-0.38869309,0.20826653,-0.06407738,0.16900520,-0.04328455
0.25609987,0.09710273,2.69816160,1.22707987,0.30260839,0.10445202,0.25609987,0.09710273
0.32404290,0.23676676,3.32778168,2.61161113,0.39090274,0.26045577,0.32404290,0.23676676
0.36359117,0.34537585,3.85466170,3.62970901,0.45822237,0.36626266,0.36359117,0.34537585
0.37232724,0.39773211,3.89889932,4.11505508,0.47806181,0.42323427,0.37232724,0.39773211
0.35562776,0.38048611,3.86287642,4.03309631,0.45531074,0.41385528,0.35562776,0.38048611
0.32473696,0.29597821,3.47563267,3.34156799,0.39948607,0.34974864,0.32473696,0.29597821
0.29256915,0.16210053,3.11140919,1.99266291,0.34181846,0.22876227,0.29256915,0.16210053
