I_in,Q_in,I_out,Q_out,I_out_actual,Q_out_actual
0.32772962,0.18710188,0.30811700,0.19249696,0.40219232,0.25132105
0.18568327,0.13978484,0.12825006,0.18433183,0.21834758,0.22101106
0.02013741,0.08425953,-0.03084113,0.21369249,0.01362433,0.15689790
-0.13955006,0.03503391,-0.19667967,0.16038561,-0.15799058,0.07674215
-0.26847257,0.00238992,-0.30126175,0.01839399,-0.30562805,0.01435197
-0.35176734,-0.01112369,-0.36209843,0.00033270,-0.41544601,-0.00289965
-0.38672686,-0.01132563,-0.37798280,0.00424032,-0.44777985,-0.01411118
-0.38111264,-0.00993079,-0.36239696,0.00254633,-0.44957002,-0.02755736
-0.34859305,-0.01980912,-0.31917062,-0.00683109,-0.40953837,-0.05160245
-0.30310124,-0.04960126,-0.26791224,-0.03788062,-0.36021452,-0.10462401
-0.25413290,-0.09956966,-0.26201040,-0.11067408,-0.29707881,-0.16484896
-0.20452456,-0.16019342,-0.22078358,-0.18401635,-0.23546735,-0.23036214
-0.15125928,-0.21414090,-0.17193556,-0.19262771,-0.17075908,-0.29163842
-0.08870595,-0.24116059,-0.09914172,-0.17286921,-0.09376031,-0.31843116
-0.01282226,-0.22446477,0.00086601,-0.14210391,0.00111284,-0.29162152
0.07545084,-0.15665174,0.09910110,-0.09659314,0.10736883,-0.20211521
0.16900520,-0.04328455,0.16822150,-0.02496183,0.20826653,-0.06407738
0.25609987,0.09710273,0.23366816,0.11012411,0.30260839,0.10445202
0.32404290,0.23676676,0.33172616,0.24921227,0.39090274,0.26045577
0.36359117,0.34537585,0.37130284,0.33509070,0.45822237,0.36626266
0.37232724,0.39773211,0.36323443,0.35841361,0.47806181,0.42323427
0.35562776,0.38048611,0.35258329,0.34602273,0.45531074,0.41385528
0.32473696,0.29597821,0.32982501,0.24852867,0.39948607,0.34974864
0.29256915,0.16210053,0.30744055,0.14968723,0.34181846,0.22876227
0.26877109,0.00813432,0.25533417,0.02452642,0.30939949,0.06754694
