held,arch,FL,zs_NMSE,zs_EVM,zs_ACLR,oracle_NMSE,gap
GaN_24dBm,dgru,200,-46.088,-48.655,-38.433,-46.350,0.262
GaN_24dBm,dgru,1000,-42.638,-44.490,-39.213,-46.036,3.398
GaN_24dBm,mamba,1000,-47.796,-49.689,-39.417,-47.249,-0.547
GaN_27dBm,dgru,200,-25.309,-26.130,-28.821,-42.037,16.728
GaN_27dBm,dgru,1000,-25.564,-26.428,-29.498,-41.519,15.955
GaN_27dBm,mamba,1000,-18.008,-18.798,-21.275,-43.231,25.223
GaN_bw100_20dBm,dgru,200,-37.208,-40.572,-38.423,-44.174,6.966
GaN_bw100_20dBm,dgru,1000,-36.985,-39.115,-39.633,-43.971,6.986
GaN_bw100_20dBm,mamba,1000,-39.644,-42.115,-40.332,-43.722,4.078
GaN_bw100_24dBm,dgru,200,-43.027,-44.695,-39.789,-46.675,3.648
GaN_bw100_24dBm,dgru,1000,-41.777,-42.663,-40.439,-46.445,4.668
GaN_bw100_24dBm,mamba,1000,-44.808,-49.046,-41.101,-47.475,2.667
